street_key,avg_price,transaction_count,std_dev,min_price,max_price,district,district_median,undervalued
AGINCOURT | NE31 1AW,120166.66666666667,3,2254.6248764114453,118000,122500,NE31,157600.0,True
AIGBURTH VALE | L17 0DG,152000.0,5,25884.35821108957,130000,185000,L17,232333.33333333334,True
AIKBANK ROAD | CA28 6LJ,146665.0,3,11548.4490300646,139995,160000,CA28,187483.33333333334,True
AILESBURY ROAD | MK45 2XB,308333.3333333333,3,38837.26732577015,265000,340000,MK45,400333.3333333333,True
AINSWORTH LANE | BL2 2QL,134166.66666666666,3,17778.73261324702,117000,152500,BL2,213750.0,True
AIREDALE MEWS | BD23 2TF,163253.5,4,60718.20470281819,86514,230000,BD23,251000.0,True
AIREVILLE TERRACE | LS29 7JY,224375.0,4,51815.98048221546,180000,285000,LS29,337166.6666666667,True
AIRFIELD ROAD | IP32 7RH,148333.33333333334,3,12583.05739211792,135000,160000,IP32,310333.3333333334,True
AIRLIE GARDENS | W8 7AL,625000.0,3,343693.177121688,250000,925000,W8,1471666.6666666667,True
AKENFIELD CLOSE | CM3 5XP,224000.0,4,128765.93752490084,110000,336000,CM3,407500.0,True
AKETON ROAD | WF10 5DL,124666.66666666667,3,17039.170558842743,107000,141000,WF10,217900.0,True
ALAN AVENUE | NR15 1RF,220000.0,3,26457.513110645905,200000,250000,NR15,276250.0,True
ALBANY GARDENS | CO2 8HU,147916.66666666666,3,17514.874630819755,130000,165000,CO2,287000.0,True
ALBANY MEWS | SS9 3FP,196416.66666666666,3,86420.60421759,101250,270000,SS9,394583.3333333334,True
ALBANY ROAD | NR31 0EU,147500.0,3,100093.70609583802,50000,250000,NR31,222855.75,True
ALBANY ROAD | S36 1AL,160333.33333333334,3,21455.38005567213,146000,185000,S36,212312.5,True
ALBANY STREET | OL4 2NT,135666.66666666666,3,8621.678104251709,128000,145000,OL4,203125.0,True
ALBATROSS WAY | DL1 1DN,103988.75,4,31441.06666315039,76005,144950,DL1,132437.5,True
ALBEMARLE ROAD | BR3 5HN,367750.0,4,52972.47713042438,307500,433500,BR3,472500.0,True
ALBEMARLE ROAD | BR3 5HU,287666.6666666667,3,58331.66664285647,252500,355000,BR3,472500.0,True
ALBERT AVENUE | M41 9BE,241666.66666666666,3,14433.75672974064,225000,250000,M41,327458.3333333334,True
ALBERT COURT | CA11 7XH,158000.0,3,21377.55832643195,134000,175000,CA11,225666.66666666666,True
ALBERT DRIVE | SW19 6JX,396166.6666666667,3,31608.279506061914,375000,432500,SW19,717550.0,True
ALBERT DRIVE | SW19 6LR,379000.0,3,12489.995996796797,369000,393000,SW19,717550.0,True
ALBERT EMBANKMENT | SE1 7HD,436875.0,4,20552.270758564213,415000,460000,SE1,638333.3333333334,True
ALBERT ROAD | BS16 5HG,186166.66666666666,9,30818.014212469952,150000,220000,BS16,332000.0,True
ALBERT ROAD | ME4 5PZ,162500.0,3,11456.4392373896,150000,172500,ME4,216666.66666666666,True
ALBERT ROAD | NW6 5FS,542500.0,4,14999.999999999984,530000,560000,NW6,740312.75,True
ALBERT ROAD | RG4 7AN,320000.0,3,75663.72975210779,235000,380000,RG4,414708.3333333334,True
ALBERT ROAD | SY11 1NH,126666.66666666667,3,39715.656022950614,82000,158000,SY11,202080.0,True
ALBERT STREET | BB5 2HA,49000.0,3,11532.562594670795,40000,62000,BB5,123950.0,True
ALBERT STREET | BD17 6AY,116291.66666666667,6,14050.281729085245,88750,125000,BD17,173345.0,True
ALBERT STREET | DL17 0QA,57666.333333333336,3,24110.32974335551,35000,82999,DL17,92583.16666666667,True
ALBERT STREET | LL13 8NT,111000.0,3,11532.562594670795,98000,120000,LL13,154250.0,True
ALBERT STREET | PO33 2SA,189700.0,5,29158.189244190045,157500,222000,PO33,241991.6666666667,True
ALBERT TERRACE | OL13 8BJ,92000.0,3,23579.652245103192,72000,118000,OL13,157716.6666666667,True
ALBERTA ESTATE | SE17 3QD,467500.0,3,49937.460888595444,412500,510000,SE17,645262.5,True
ALBION COURT | CM12 9LB,170000.0,3,86602.54037844387,70000,220000,CM12,442500.0,True
ALBION COURT | CM2 0UT,114250.0,4,33450.21175817377,85000,162000,CM2,335000.0,True
ALBION COURT | HU4 7PL,105875.0,4,11960.873713905687,90000,118500,HU4,150000.0,True
ALBION COURT | SG19 1EA,233666.66666666666,3,95923.58069491219,123000,293000,SG19,300500.0,True
ALBION DRIVE | ME20 6FG,286875.0,4,115422.68335701321,227500,460000,ME20,371820.0,True
ALBION PLACE | NN1 1UG,80700.0,5,8714.929718592113,72000,90000,NN1,197500.0,True
ALBION ROAD | CT7 9DH,117500.0,3,36827.299656640585,85000,157500,CT7,278750.0,True
ALBION ROAD | TR13 8JH,167333.33333333334,3,58045.95880277398,108000,224000,TR13,263000.0,True
ALBION ROAD | TR13 8JJ,185500.0,4,17691.806012954134,168000,210000,TR13,263000.0,True
ALBION ROAD | YO11 2BT,106000.0,6,16223.439832538597,77000,120000,YO11,169996.66666666666,True
ALBION STREET | BL5 3PZ,179916.66666666666,3,61492.03878010009,135000,250000,BL5,245916.6666666667,True
ALBION STREET | DE11 8DS,139416.66666666666,3,62317.90138742906,92000,210000,DE11,226833.33333333334,True
ALBION STREET | LU6 1SB,140750.0,4,35055.90772846521,95000,180000,LU6,348600.0,True
ALBION STREET | OL11 2UT,143250.0,4,49216.359068911224,70000,175000,OL11,234166.66666666666,True
ALBION STREET | WA10 2HA,110666.66666666667,3,17925.772879665,90000,122000,WA10,140583.33333333334,True
ALBION TERRACE | NG34 7EY,131666.66666666666,3,12583.057392117913,120000,145000,NG34,213333.33333333334,True
ALBION WAY | TN8 6JQ,246666.66666666666,3,53928.96562454479,185000,285000,TN8,334375.0,True
ALBURGH CLOSE | MK42 0HF,221666.66666666666,3,33291.640592396965,200000,260000,MK42,333750.0,True
ALCESTER ROAD SOUTH | B14 6DT,69666.66666666667,6,16693.312034065217,50000,90000,B14,239666.66666666666,True
ALCESTER ROAD | CV37 6PN,102600.0,5,28263.050083103204,75000,150000,CV37,370916.6666666666,True
ALCOVE ROAD | BS16 3AG,185895.75,4,21487.348345402388,158000,203583,BS16,332000.0,True
ALDBOROUGH ROAD SOUTH | IG3 8EY,260666.66666666666,3,100729.00939318987,185000,375000,IG3,451666.6666666666,True
ALDBURGH MEWS | W1U 1BT,1615000.0,3,575260.8104155888,970000,2075000,W1U,4185520.1,True
ALDENHAM ROAD | WD23 2FU,242500.0,3,11715.374513859982,235000,256000,WD23,406916.6666666667,True
ALDER CLOSE | PR26 7TT,134333.33333333334,3,49652.123150307816,79000,175000,PR26,253333.33333333334,True
ALDER MEADOW | CV34 6JY,167125.0,4,28332.475477209304,130000,199000,CV34,332333.3333333333,True
ALDERGATE TERRACE | GL10 2QQ,239333.33333333334,3,51393.90365922143,180000,270000,GL10,357535.7142857143,True
ALDERGROVE PLACE | LL11 3NZ,91500.0,3,9733.961166965892,80500,99000,LL11,158400.0,True
ALDERS GREEN | GL2 9HJ,215000.0,3,144654.76141489434,110000,380000,GL2,271583.3333333334,True
ALDERSLEY ROAD | WV6 9NB,193750.0,4,40285.4398842394,150000,235000,WV6,257462.375,True
ALDRED STREET | M35 0AQ,145500.0,3,56817.690906970165,80000,181500,M35,200375.0,True
ALDRENS LANE | LA1 2DT,121316.66666666667,3,14996.694080140907,104000,130000,LA1,167233.33333333334,True
ALDRINGTON ROAD | SW16 1TL,297500.0,4,38837.26732577014,250000,345000,SW16,521583.3333333333,True
ALDRINGTON ROAD | SW16 1TN,326000.0,3,29546.573405388313,293000,350000,SW16,521583.3333333333,True
ALDWICK ROAD | PO21 2PA,159000.0,3,57297.46940310715,97000,210000,PO21,297270.8333333334,True
ALEXANDER PLACE | PR2 5JZ,130000.0,3,30413.8126514911,95000,150000,PR2,197491.6666666667,True
ALEXANDER SQUARE | SO50 4BX,145000.0,3,20880.6130178211,131000,169000,SO50,302000.0,True
ALEXANDER STREET | CA1 2LH,90166.66666666667,3,1607.2751268321606,89000,92000,CA1,151500.0,True
ALEXANDER STREET | CA1 2LJ,89833.33333333333,3,8098.3537421708925,80500,95000,CA1,151500.0,True
ALEXANDRA AVENUE | HR1 1HH,241500.0,3,8760.707733967616,232500,250000,HR1,310500.0,True
ALEXANDRA COURT | DT6 5QP,153666.66666666666,3,10969.65511460289,141000,160000,DT6,304583.3333333334,True
ALEXANDRA DRIVE | L17 8TD,76000.0,3,43554.56348076514,39000,124000,L17,232333.33333333334,True
ALEXANDRA PARK | HP11 2HB,179000.0,4,35505.86805961328,150000,230000,HP11,283125.0,True
ALEXANDRA ROAD | BS21 7QH,211333.33333333334,3,37581.023580170535,168000,235000,BS21,325000.0,True
ALEXANDRA ROAD | KT17 4BY,282666.6666666667,3,28307.831660749536,250000,300000,KT17,404625.0,True
ALEXANDRA ROAD | LA1 2DP,89000.0,3,21166.010488516724,65000,105000,LA1,167233.33333333334,True
ALEXANDRA ROAD | LN10 6RE,196625.0,4,42409.462387538,148000,250000,LN10,308743.75,True
ALEXANDRA ROAD | ME12 2AS,213333.33333333334,3,46188.02153517006,160000,240000,ME12,291000.0,True
ALEXANDRA ROAD | NG31 7AW,111750.0,4,24622.14450449026,75000,127000,NG31,195875.0,True
ALEXANDRA ROAD | NP11 7JZ,130000.0,3,26457.513110645905,110000,160000,NP11,173666.66666666666,True
ALEXANDRA ROAD | SA4 4NW,84750.0,4,8421.203397773186,75000,95000,SA4,214866.6666666667,True
ALEXANDRA ROAD | SW19 7JZ,358166.6666666667,3,149275.19329524692,269000,530500,SW19,717550.0,True
ALEXANDRA STREET | DH8 5DR,82500.0,3,9013.878188659974,72500,90000,DH8,158357.14285714284,True
ALEXANDRA STREET | SA12 6EE,97666.66666666667,3,13650.396819628844,83000,110000,SA12,164375.0,True
ALEXANDRA TERRACE | EX8 1BD,170000.0,4,58736.70062235365,105000,245000,EX8,321890.0,True
ALEXANDRA TERRACE | LN1 1JF,144333.33333333334,3,25026.652459594618,120000,170000,LN1,257750.0,True
ALEXANDRA WAY | DL10 4PT,125000.0,3,49789.55713801841,83000,180000,DL10,201250.0,True
ALEXANDRA WAY | NE23 6EB,49333.666666666664,3,14048.060376199033,36000,64001,NE23,212466.6666666667,True
ALEXANDRIA DRIVE | BL5 3HF,84000.0,3,10148.891565092219,75000,95000,BL5,245916.6666666667,True
ALEXANDRINA STREET | SR7 7HU,69200.0,3,35873.66722263003,42600,110000,SR7,151200.0,True
ALF PATRICK COURT | YO30 7EQ,225000.0,3,0.0,225000,225000,YO30,287166.6666666666,True
ALFORD PASTURE | EX5 7EB,200633.33333333334,3,63903.86008163618,126900,240000,EX5,270808.3333333334,True
ALFRED CLOSE | SO40 8TD,233900.0,5,85471.04772962596,109000,318500,SO40,306416.6666666666,True
ALFRED ROAD | BN1 3RG,281666.6666666667,3,106105.29361598003,195000,400000,BN1,456666.6666666667,True
ALFRED ROAD | DN6 0PY,108333.33333333333,3,18929.69448600091,95000,130000,DN6,140416.6666666667,True
ALFRED ROAD | DT1 2DW,252100.0,5,40722.22980142419,210000,320000,DT1,320545.45454545453,True
ALFRED STREET | B79 7RL,196000.0,3,26000.0,180000,226000,B79,250958.3333333333,True
ALFRED STREET | LA1 1FD,74333.33333333333,3,7981.906622689426,66550,82500,LA1,167233.33333333334,True
ALFRETON ROAD | DE55 4PB,121125.0,4,44257.53231560326,73000,180000,DE55,176145.8333333333,True
ALGERNON STREET | WA1 3QP,117700.0,5,7328.028384224504,108000,126000,WA1,223000.0,True
ALGERNON STREET | WN2 3EG,113666.66666666667,3,35641.73583501978,80000,151000,WN2,186245.0,True
ALGERS ROAD | IG10 4RS,369500.0,3,84695.04117715512,303500,465000,IG10,485000.0,True
ALISANDER CLOSE | ME6 5SH,224833.33333333334,3,88397.30388045404,162500,326000,ME6,314800.0,True
ALIWAL ROAD | SW11 1RD,695240.0,3,420812.9902937883,210000,960000,SW11,883333.3333333334,True
ALL HALLOWS DRIVE | L24 2RA,115333.33333333333,3,26274.195198584737,85000,131000,L24,150458.3333333333,True
ALL SAINTS RISE | TN4 9PW,314333.3333333333,3,8144.527815247083,305000,320000,TN4,504500.0,True
ALL SAINTS ROAD | CV34 5NP,155000.0,4,19148.54215512676,130000,170000,CV34,332333.3333333333,True
ALL SAINTS ROAD | DE14 3LS,122500.0,4,5000.000000000001,120000,130000,DE14,186333.33333333334,True
ALL SAINTS ROAD | EX10 8DE,250000.0,4,26140.645235596872,225000,275000,EX10,386916.6666666666,True
ALL SAINTS ROAD | EX10 8DY,138000.0,3,38626.41583165593,104000,180000,EX10,386916.6666666666,True
ALLDER CLOSE | OX14 1YG,280000.0,3,48218.25380496478,225000,315000,OX14,397516.6666666666,True
ALLDIS STREET | SK2 7PA,192333.33333333334,3,8020.80627701064,184000,200000,SK2,256997.5,True
ALLEN CLOSE | PE22 0AL,146861.25,4,28733.413585058075,131565,189950,PE22,199958.3333333333,True
ALLEN CROFT | BD11 2AB,141250.0,4,39660.01344763598,115000,200000,BD11,214666.66666666666,True
ALLEN ROAD | NN9 5QY,193333.33333333334,3,18009.2568789868,181000,214000,NN9,263666.6666666667,True
ALLENBY CRESCENT | DN11 0JY,138333.33333333334,3,32145.502536643187,115000,175000,DN11,225800.0,True
ALLEYNE ROAD | B24 8EL,177333.33333333334,3,23459.18441321721,151000,196000,B24,239833.3333333333,True
ALLHALLOWGATE | HG4 1WB,175000.0,3,28618.17604250837,157000,208000,HG4,325900.0,True
ALLINGHAM COURT | GU7 3AW,192100.0,5,66882.73319773946,150000,310000,GU7,514166.6666666667,True
ALLINGTON COURT | CM11 2JB,183888.88888888888,9,39826.01048449507,145000,270000,CM11,407625.0,True
ALLITSEN ROAD | NW8 7BA,600000.0,3,117898.26122551596,500000,730000,NW8,1031666.6666666666,True
ALLWOODS PLACE | SG4 0BQ,249071.42857142858,7,68509.38413302015,120000,312500,SG4,407814.6666666666,True
ALMA ROAD | M33 4LT,82333.33333333333,3,4041.4518843273827,80000,87000,M33,317333.3333333333,True
ALMA ROAD | OX16 4RQ,180000.0,3,52144.03129793476,137000,238000,OX16,286666.6666666666,True
ALMA ROAD | SL4 6LA,363000.0,3,168189.62512592744,185500,520000,SL4,477000.0,True
ALMA STREET WEST | S40 2AX,79333.33333333333,3,29005.74655707612,50000,108000,S40,207666.66666666666,True
ALMA STREET | DE55 7HX,131875.0,4,36479.16071768465,77500,155000,DE55,176145.8333333333,True
ALMA STREET | HU19 2AL,94833.33333333333,3,27140.068779082583,63500,111000,HU19,133291.6666666667,True
ALMOND RISE | NG19 0NA,112000.0,3,48754.486972995626,56000,145000,NG19,179583.3333333333,True
ALMOND ROAD | DN4 6PH,143333.33333333334,3,20816.65999466133,120000,160000,DN4,181583.33333333334,True
ALPHINGTON ROAD | EX2 8HN,140500.0,3,5766.2812973353975,135000,146500,EX2,343333.3333333333,True
ALPORT WAY | LE18 3WN,195625.0,4,15595.806060177418,175000,210000,LE18,249600.0,True
ALSA GARDENS | CM22 6HB,340000.0,4,64807.406984078596,280000,410000,CM22,508333.3333333333,True
ALSOP STREET | ST13 5NZ,127125.0,4,26192.79481078718,90000,150000,ST13,165000.0,True
ALTHAM STREET | BB12 8QR,55831.666666666664,3,21948.513806937666,30545,69950,BB12,139650.0,True
ALTON STREET | OL8 3EY,97666.66666666667,3,26388.128644019707,80000,128000,OL8,166666.66666666666,True
ALTRINCHAM ROAD | M22 4UJ,156333.33333333334,3,10598.742063723093,145000,166000,M22,224500.0,True
ALUM ROCK ROAD | B8 2LS,110900.0,5,72467.57895776565,60000,230000,B8,172116.6666666667,True
ALVANLEY CLOSE | M33 3RD,236333.33333333334,3,51030.21980486987,182500,284000,M33,317333.3333333333,True
ALVENOR STREET | DE7 5LR,141666.66666666666,3,7234.178138070233,137000,150000,DE7,206479.1666666667,True
ALVERSTONE ROAD | PO4 8GS,140055.55555555556,9,28482.93836277743,112500,190000,PO4,271666.6666666667,True
ALVERTON DRIVE | DL3 0GA,104316.66666666667,3,48244.697463382785,74000,159950,DL3,157625.0,True
ALWYNSIDE | NE66 1DL,155000.0,3,33645.207682521446,129000,193000,NE66,247559.52380952382,True
AMBERLEY AVENUE | CH46 6EZ,144000.0,3,66730.80248281149,95000,220000,CH46,197083.3333333333,True
AMBERLEY CHASE | NE12 6SB,149000.0,3,10148.891565092219,140000,160000,NE12,195833.33333333334,True
AMBLECOTE MEADOWS | SE12 9TA,346000.0,3,47031.90406521939,314000,400000,SE12,444375.0,True
AMBURY ROAD SOUTH | PE29 3PD,155000.0,5,4690.41575982343,150000,160000,PE29,280800.0,True
AMELIA STREET | SE17 3AS,457000.0,4,34535.00639447844,418000,495000,SE17,645262.5,True
AMHERST PLACE | PO33 1FE,150421.42857142858,7,47923.13165496437,115000,240000,PO33,241991.6666666667,True
AMHURST ROAD | E8 1JH,471666.6666666667,3,91696.96468985947,400000,575000,E8,628333.3333333334,True
AMPLEFORTH DRIVE | PR5 5TE,151625.0,4,21179.294133657993,123000,170000,PR5,191507.14285714287,True
