postcode,street_key,avg_price,transaction_count,std_dev,min_price,max_price,district,district_median,undervalued,Postcode,Latitude,Longitude,District,% Difference
BN44 3JN,ADUR VALLEY COURT | BN44 3JN,151357.0,7.0,17343.861272,125500.0,167500.0,BN44,459875.0,True,BN44 3JN,50.883307,-0.296355,Horsham,67.08736069584126
M4 7LS,ADVENT WAY | M4 7LS,169666.0,3.0,66229.399313,112000.0,242000.0,M4,243333.0,True,M4 7LS,53.478458,-2.219251,Manchester,30.274151060480904
RG19 4ES,ADWOOD COURT | RG19 4ES,182750.0,4.0,21453.437953,160000.0,211000.0,RG19,331666.0,True,RG19 4ES,51.402381,-1.253888,West Berkshire,44.899386732435644
PL9 7GH,AFFLINGTON ROAD | PL9 7GH,167500.0,5.0,71019.363557,90000.0,227500.0,PL9,275000.0,True,PL9 7GH,50.370129,-4.100518,Plymouth,39.09090909090909
SY16 2JG,AFON WAY | SY16 2JG,120000.0,3.0,11789.826123,107000.0,130000.0,SY16,233083.0,True,SY16 2JG,52.516945,-3.306254,Powys,48.516193802207795
NW1 9UE,AGAR GROVE | NW1 9UE,508750.0,4.0,196049.526056,392500.0,800000.0,NW1,689125.0,True,NW1 9UE,51.543475,-0.128093,Camden,26.174496644295303
SR3 3DL,AGAR ROAD | SR3 3DL,110666.0,3.0,17925.77288,90000.0,122000.0,SR3,249394.0,True,SR3 3DL,54.878635,-1.425401,Sunderland,55.62603751493621
NE31 1AN,AGINCOURT | NE31 1AN,125625.0,4.0,38964.460303,75000.0,170000.0,NE31,157600.0,True,NE31 1AN,54.981876,-1.51979,South Tyneside,20.288705583756343
NE31 1AW,AGINCOURT | NE31 1AW,120166.0,3.0,2254.624876,118000.0,122500.0,NE31,157600.0,True,NE31 1AW,54.98138,-1.519437,South Tyneside,23.75253807106599
L17 0DG,AIGBURTH VALE | L17 0DG,152000.0,5.0,25884.358211,130000.0,185000.0,L17,232333.0,True,L17 0DG,53.374596,-2.935114,Liverpool,34.57666366809708
CA28 6LJ,AIKBANK ROAD | CA28 6LJ,146665.0,3.0,11548.44903,139995.0,160000.0,CA28,187483.0,True,CA28 6LJ,54.560199,-3.574097,Cumberland,21.77157395603868
MK45 2XB,AILESBURY ROAD | MK45 2XB,308333.0,3.0,38837.267326,265000.0,340000.0,MK45,400333.0,True,MK45 2XB,52.029717,-0.486948,Central Bedfordshire,22.980868427034494
BL2 2QL,AINSWORTH LANE | BL2 2QL,134166.0,3.0,17778.732613,117000.0,152500.0,BL2,213750.0,True,BL2 2QL,53.587952,-2.409135,Bolton,37.232280701754384
BD23 2TF,AIREDALE MEWS | BD23 2TF,163253.0,4.0,60718.204703,86514.0,230000.0,BD23,251000.0,True,BD23 2TF,53.956435,-2.025433,North Yorkshire,34.9589641434263
LS29 7JY,AIREVILLE TERRACE | LS29 7JY,224375.0,4.0,51815.980482,180000.0,285000.0,LS29,337166.0,True,LS29 7JY,53.912865,-1.75205,Bradford,33.45266130036836
IP32 7RH,AIRFIELD ROAD | IP32 7RH,148333.0,3.0,12583.057392,135000.0,160000.0,IP32,310333.0,True,IP32 7RH,52.247571,0.754201,West Suffolk,52.20198947582113
W8 7AL,AIRLIE GARDENS | W8 7AL,625000.0,3.0,343693.177122,250000.0,925000.0,W8,1471666.0,True,W8 7AL,51.505438,-0.19882,Kensington and Chelsea,57.53112458941091
CM3 5XP,AKENFIELD CLOSE | CM3 5XP,224000.0,4.0,128765.937525,110000.0,336000.0,CM3,407500.0,True,CM3 5XP,51.643729,0.615746,Chelmsford,45.030674846625764
WF10 5DL,AKETON ROAD | WF10 5DL,124666.0,3.0,17039.170559,107000.0,141000.0,WF10,217900.0,True,WF10 5DL,53.720314,-1.363924,Wakefield,42.78751720972923
NR15 1RF,ALAN AVENUE | NR15 1RF,220000.0,3.0,26457.513111,200000.0,250000.0,NR15,276250.0,True,NR15 1RF,52.537645,1.255968,South Norfolk,20.361990950226243
CO2 8HU,ALBANY GARDENS | CO2 8HU,147916.0,3.0,17514.874631,130000.0,165000.0,CO2,287000.0,True,CO2 8HU,51.877596,0.92869,Colchester,48.46132404181185
SS9 3FP,ALBANY MEWS | SS9 3FP,196416.0,3.0,86420.60421799998,101250.0,270000.0,SS9,394583.0,True,SS9 3FP,51.549683,0.672259,Southend-on-Sea,50.22187980729023
NR31 0EU,ALBANY ROAD | NR31 0EU,147500.0,3.0,100093.706096,50000.0,250000.0,NR31,222855.0,True,NR31 0EU,52.600277,1.719996,Great Yarmouth,33.81346615512329
S36 1AL,ALBANY ROAD | S36 1AL,160333.0,3.0,21455.380056,146000.0,185000.0,S36,212312.0,True,S36 1AL,53.482095,-1.598287,Sheffield,24.482365575191228
OL4 2NT,ALBANY STREET | OL4 2NT,135666.0,3.0,8621.678104,128000.0,145000.0,OL4,203125.0,True,OL4 2NT,53.554657,-2.082408,Oldham,33.21058461538461
DL1 1DN,ALBATROSS WAY | DL1 1DN,103988.0,4.0,31441.066663,76005.0,144950.0,DL1,132437.0,True,DL1 1DN,54.522773,-1.52299,Darlington,21.481157078459947
BR3 5HN,ALBEMARLE ROAD | BR3 5HN,367750.0,4.0,52972.47713,307500.0,433500.0,BR3,472500.0,True,BR3 5HN,51.408921,-0.01417,Bromley,22.169312169312168
BR3 5HU,ALBEMARLE ROAD | BR3 5HU,287666.0,3.0,58331.666643,252500.0,355000.0,BR3,472500.0,True,BR3 5HU,51.410003,-0.018567,Bromley,39.11830687830688
M41 9BE,ALBERT AVENUE | M41 9BE,241666.0,3.0,14433.75673,225000.0,250000.0,M41,327458.0,True,M41 9BE,53.449031,-2.342028,Trafford,26.199390456180637
CA11 7XH,ALBERT COURT | CA11 7XH,158000.0,3.0,21377.558326,134000.0,175000.0,CA11,225666.0,True,CA11 7XH,54.665447,-2.75253,Westmorland and Furness,29.985022112325293
SW19 6JX,ALBERT DRIVE | SW19 6JX,396166.0,3.0,31608.279506,375000.0,432500.0,SW19,717550.0,True,SW19 6JX,51.443095,-0.210238,Wandsworth,44.789073932130165
SW19 6LR,ALBERT DRIVE | SW19 6LR,379000.0,3.0,12489.995997,369000.0,393000.0,SW19,717550.0,True,SW19 6LR,51.443537,-0.209727,Wandsworth,47.181381088425894
SE1 7HD,ALBERT EMBANKMENT | SE1 7HD,436875.0,4.0,20552.270759,415000.0,460000.0,SE1,638333.0,True,SE1 7HD,51.492116,-0.121306,Lambeth,31.560016480426363
BS16 5HG,ALBERT ROAD | BS16 5HG,186166.0,9.0,30818.014212,150000.0,220000.0,BS16,332000.0,True,BS16 5HG,51.482053,-2.500831,South Gloucestershire,43.92590361445784
ME4 5PZ,ALBERT ROAD | ME4 5PZ,162500.0,3.0,11456.439237,150000.0,172500.0,ME4,216666.0,True,ME4 5PZ,51.374547,0.529567,Medway,24.99976923005917
NW6 5FS,ALBERT ROAD | NW6 5FS,542500.0,4.0,15000.0,530000.0,560000.0,NW6,740312.0,True,NW6 5FS,51.53382,-0.203159,Brent,26.720085585536907
RG4 7AN,ALBERT ROAD | RG4 7AN,320000.0,3.0,75663.729752,235000.0,380000.0,RG4,414708.0,True,RG4 7AN,51.471259,-0.981238,Reading,22.837273455057534
SY11 1NH,ALBERT ROAD | SY11 1NH,126666.0,3.0,39715.656023,82000.0,158000.0,SY11,202080.0,True,SY11 1NH,52.863286,-3.05395,Shropshire,37.31888361045131
BB5 2HA,ALBERT STREET | BB5 2HA,49000.0,3.0,11532.562595,40000.0,62000.0,BB5,123950.0,True,BB5 2HA,53.74869,-2.363945,Hyndburn,60.46793061718435
BD17 6AY,ALBERT STREET | BD17 6AY,116291.0,6.0,14050.281729,88750.0,125000.0,BD17,173345.0,True,BD17 6AY,53.840813,-1.767703,Bradford,32.913553895410885
DL17 0QA,ALBERT STREET | DL17 0QA,57666.0,3.0,24110.329743,35000.0,82999.0,DL17,92583.0,True,DL17 0QA,54.659597,-1.549189,County Durham,37.71426719808172
LL13 8NT,ALBERT STREET | LL13 8NT,111000.0,3.0,11532.562595,98000.0,120000.0,LL13,154250.0,True,LL13 8NT,53.041196,-2.987318,Wrexham,28.038897893030796
PO33 2SA,ALBERT STREET | PO33 2SA,189700.0,5.0,29158.189244,157500.0,222000.0,PO33,241991.0,True,PO33 2SA,50.724415,-1.161357,Isle of Wight,21.608654867329776
OL13 8BJ,ALBERT TERRACE | OL13 8BJ,92000.0,3.0,23579.652245,72000.0,118000.0,OL13,157716.0,True,OL13 8BJ,53.705846,-2.203832,Rossendale,41.66730071774582
SE17 3QD,ALBERTA ESTATE | SE17 3QD,467500.0,3.0,49937.460889,412500.0,510000.0,SE17,645262.0,True,SE17 3QD,51.488807,-0.102274,Southwark,27.548809630816628
CM12 9LB,ALBION COURT | CM12 9LB,170000.0,3.0,86602.540378,70000.0,220000.0,CM12,442500.0,True,CM12 9LB,51.621673,0.417134,Basildon,61.5819209039548
CM2 0UT,ALBION COURT | CM2 0UT,114250.0,4.0,33450.211758,85000.0,162000.0,CM2,335000.0,True,CM2 0UT,51.72777,0.467872,Chelmsford,65.8955223880597
HU4 7PL,ALBION COURT | HU4 7PL,105875.0,4.0,11960.873714,90000.0,118500.0,HU4,150000.0,True,HU4 7PL,53.744457,-0.415697,East Riding of Yorkshire,29.416666666666668
SG19 1EA,ALBION COURT | SG19 1EA,233666.0,3.0,95923.580695,123000.0,293000.0,SG19,300500.0,True,SG19 1EA,52.128002,-0.290853,Central Bedfordshire,22.240931780366058
ME20 6FG,ALBION DRIVE | ME20 6FG,286875.0,4.0,115422.683357,227500.0,460000.0,ME20,371820.0,True,ME20 6FG,51.307477,0.445595,Tonbridge and Malling,22.84573180571244
NN1 1UG,ALBION PLACE | NN1 1UG,80700.0,5.0,8714.929718999998,72000.0,90000.0,NN1,197500.0,True,NN1 1UG,52.235483,-0.891986,West Northamptonshire,59.139240506329116
